"ID_ASTECA_MOTIVO","DENOMINACAO","USR_CRIA","USR_ALT","DATA_CRIA","DATA_ALT","SITUACAO"
"1","MERC. DANIFICADA EM USO","","1022442","","1/5/2015 2:55:15 PM","9"
"2","MAU USO CONSUMIDOR","","586","","10/14/2015 2:14:40 PM","1"
"3","AVARIA NA MONTAGEM","","586","","10/14/2015 2:14:40 PM","1"
"4","MERCADORIA N츒 FUNCIONA","","","","","9"
"5","MERCADORIA S/CONDI큞ES DE VENDA","","","","","9"
"6","CARAC. N츒 ESPECIFICADA PELO VENDEDOR","","","","","9"
"7","MERC. DANIFICADA POR DEFICI툁CIA DA EMB. / FALTA ACESSORIOS","","586","","10/14/2015 2:14:40 PM","9"
"8","DEFEITO DE FABRICA츒","","","","","1"
"9","MERC.  N츒 FUNCIONA CD/DVD","","","","","9"
"10","DEFEITO NO AUDIO","","","","","9"
"11","FALTA ACESSORIO/PE큐 NA EMBALAGEM","","","","","9"
"13","PRODUTO CONSERTADO","","586","","1/26/2015 10:10:51 AM","9"
"12","LOGISTICA","","586","","10/14/2015 2:14:40 PM","1"
"14","MOTIVO CRIADO PELO SISMA","","","","","9"
"18","PE큐 AVARIADA","586","","2/20/2014 3:32:57 PM","","9"
"24","PRODUTO MOSTRUARIO","586","","6/13/2014 9:34:12 AM","","9"
"26","PE큐 EM SEPARA큐O","586","","8/23/2014 9:18:00 AM","","9"
"31","MAU USO CONSUMIDOR","586","586","12/23/2014 9:58:36 AM","10/14/2015 2:14:40 PM","9"
"32","MONTAGEM E DESMONTAGEM PRODUTOS/ESTOFADOS/PROD.SEM AVARIA","586","586","12/23/2014 10:02:21 AM","3/4/2015 10:01:36 AM","1"
"21","VISTORIA","586","","3/11/2014 10:16:49 AM","","9"
"22","PE큐S PARA PRODUTO MOSTRUARIO","586","ADM527","3/11/2014 10:36:16 AM","12/28/2016 5:49:26 PM","1"
"23","PRODUTO DESMONTADO LOJA","586","ADM527","3/11/2014 10:39:22 AM","12/28/2016 5:49:26 PM","1"
"15","DESCOSTURADO","","","","","9"
"17","PASSAR ESTOFADO PRA DENTRO RESIDENCIA","586","586","2/18/2014 8:35:20 AM","4/15/2016 3:27:55 PM","9"
"19","PORTA COM VIDRO QUEBRADO","586","","2/21/2014 7:44:12 AM","","9"
"25","TROCA VOLUME","586","","7/15/2014 9:53:46 AM","","9"
"27","PRODUTO DESMONTADO","586","586","8/27/2014 8:25:55 AM","1/27/2015 10:45:11 AM","9"
"28","PRODUTO ENTREGUE NA COR ERRADA","586","","9/4/2014 9:44:24 AM","","9"
"30","ENTREGUE FALTANDO VOLUME","586","","11/18/2014 3:13:44 PM","","9"
"995","PRODUTO MONTADO LOJA","","","","","9"
"29","REPARO","586","","9/6/2014 10:33:27 AM","","9"
"33","PRODUTO SEM DEFEITO","1023794","","8/14/2017 2:56:21 PM","","1"
